,id,img,hateful_label,text,Sentiment_Label,Sentiment_Score
27,1368,img/01368.png,hateful,then he said i couldn't come to the barbecue because i always burn the franks,NEGATIVE,0.99947774
28,1379,img/01379.png,not-hateful,american teenage girl visiting the children of africa,POSITIVE,0.99810684
29,1382,img/01382.png,not-hateful,my body my choice,POSITIVE,0.996042
30,1389,img/01389.png,not-hateful,confession-every sunday around brunch time i take my cat to the mall and make people take pictures of us,POSITIVE,0.9687472
31,1392,img/01392.png,not-hateful,hello jesus thanks for making a way!,POSITIVE,0.9984665
32,1395,img/01395.png,hateful,i just found out mexican babies come out just like the food,POSITIVE,0.99619836
33,1397,img/01397.png,not-hateful,"makeup artist $4,000 / month personal stylist $15,000 / week i can't tell the difference",NEGATIVE,0.99942905
34,1423,img/01423.png,not-hateful,when you want to nap after a long day of mudding,POSITIVE,0.9854118
35,1425,img/01425.png,not-hateful,see? i fuckin told you! little foil on top keeps them jewsy,POSITIVE,0.99609256
36,1436,img/01436.png,hateful,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets,NEGATIVE,0.990755
37,1439,img/01439.png,not-hateful,im long and strong and down to get the goat hump on,POSITIVE,0.99875796
38,1452,img/01452.png,not-hateful,the feeling after a long day at work,POSITIVE,0.99872756
39,1456,img/01456.png,hateful,they see them rollin..... they hating..,NEGATIVE,0.9983903
40,1459,img/01459.png,not-hateful,trust me... ...they're re all terrorists,NEGATIVE,0.9988323
41,1465,img/01465.png,not-hateful,there is difference between violating muslims and other muslims dont get confused,NEGATIVE,0.987591
42,1467,img/01467.png,hateful,it's a great day to be a honky!,POSITIVE,0.99883056
43,1468,img/01468.png,not-hateful,"assad: my son exploded better than yours, lol hamid:",POSITIVE,0.9983875
44,1469,img/01469.png,hateful,when you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused,NEGATIVE,0.9929118
45,1472,img/01472.png,not-hateful,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to,POSITIVE,0.9977539
46,1475,img/01475.png,hateful,last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad,NEGATIVE,0.9960881
47,1476,img/01476.png,not-hateful,im confident in my own skin,POSITIVE,0.99873
48,1483,img/01483.png,not-hateful,"feeling bored, let's go to a mosque",NEGATIVE,0.9921217
49,1487,img/01487.png,hateful,when you forget you're retarded,POSITIVE,0.9864683
50,1492,img/01492.png,not-hateful,i don't like the sun so i wear a visor,NEGATIVE,0.9928534
51,1497,img/01497.png,hateful,now back to the married islamic classic.. to children,POSITIVE,0.99839556
52,1498,img/01498.png,not-hateful,democrats claim daca kids shouldn't have to pay for their parent's crimes... ...but white people are still responsible for 17th century slave owners??,NEGATIVE,0.9931118
53,1524,img/01524.png,not-hateful,when you catch your goat with another man,NEGATIVE,0.9953283
54,1526,img/01526.png,not-hateful,put the money in a bag. now! that will be $0.15,NEGATIVE,0.99892235
55,1527,img/01527.png,not-hateful,oh no i can't run anymore,NEGATIVE,0.99817
56,1529,img/01529.png,not-hateful,acceptance of individuality is not a disgusting thing,POSITIVE,0.99800783
57,1546,img/01546.png,hateful,kill the jews and muslims for being anti-white,NEGATIVE,0.99505574
58,1547,img/01547.png,not-hateful,how mexicans be like... when they hear their friends kid is having a birthday party,POSITIVE,0.99583125
59,1548,img/01548.png,not-hateful,"what are they fighting over? is it: a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!",NEGATIVE,0.99940723
60,1562,img/01562.png,hateful,how roaches be when you shut off the kitchen light,NEGATIVE,0.9915431
61,1564,img/01564.png,not-hateful,puts on sunblock doesn't protect from harmful rays,NEGATIVE,0.99929166
62,1567,img/01567.png,not-hateful,hitler was an evil man,NEGATIVE,0.9778877
63,1568,img/01568.png,hateful,do you think a terrorist has or could infiltrate our goverment ???,NEGATIVE,0.99499136
64,1569,img/01569.png,not-hateful,when you can't decide to pre heat the oven or just throw the meal in right away,NEGATIVE,0.9952479
65,1576,img/01576.png,not-hateful,when your ex ask you for help,NEGATIVE,0.9907768
66,1578,img/01578.png,hateful,sea monkeys,POSITIVE,0.9754041
67,1579,img/01579.png,hateful,"muslim figure: ""we must have pork-free menus or we will leave u.s"" bacon america great again!",NEGATIVE,0.96474814
68,1589,img/01589.png,hateful,has an orgasm... ...shoots out tranny fluid,POSITIVE,0.99477476
69,1594,img/01594.png,not-hateful,"i do not like taking pictures oh well, go ahead take it",NEGATIVE,0.98635405
70,1598,img/01598.png,not-hateful,men are like dogs we're excited to see you... and have no clue what you're mad about,NEGATIVE,0.9994414
71,1627,img/01627.png,hateful,jew jerky: leave out in the sun until all moisture is gone store in a cool dark place for 3 days,NEGATIVE,0.98520404
72,1634,img/01634.png,not-hateful,"""aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!""",NEGATIVE,0.9983481
73,1637,img/01637.png,not-hateful,this time jesus you're not getting away,NEGATIVE,0.9803509
74,1642,img/01642.png,hateful,this would be racist if black people could read,NEGATIVE,0.9963702
75,1643,img/01643.png,hateful,i'm not a racist my shadow is black,NEGATIVE,0.96732664
76,1649,img/01649.png,hateful,american cops when they graduate police academy let the black man come forth! let murder be done upon him!,NEGATIVE,0.9938996
77,1653,img/01653.png,not-hateful,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """,NEGATIVE,0.9976989
78,1658,img/01658.png,not-hateful,first rule of fight club.,POSITIVE,0.9924873
79,1672,img/01672.png,not-hateful,when the new call of duty comes out and you're already camping,NEGATIVE,0.9764314
80,1674,img/01674.png,not-hateful,i went on a date blind date,POSITIVE,0.9914071
81,1682,img/01682.png,hateful,fuck allah fuck islam and guck the child raper muhammad and yes that's pork in the quran,NEGATIVE,0.9942951
82,1689,img/01689.png,not-hateful,the nazi symbol is not punk rock,NEGATIVE,0.998525
83,1694,img/01694.png,not-hateful,which one should we butcher first,NEGATIVE,0.9976138
84,1698,img/01698.png,not-hateful,this guy cut her head off workplace violence my ass,NEGATIVE,0.99779403
85,1723,img/01723.png,not-hateful,wait don't forget to feed me!,POSITIVE,0.9957515
86,1726,img/01726.png,hateful,a real man loads the dishwasher every night,POSITIVE,0.99781543
87,1734,img/01734.png,not-hateful,and that was the last time we let uncle larry babysit,NEGATIVE,0.98984396
88,1735,img/01735.png,not-hateful,spending time with dad,POSITIVE,0.99881905
89,1736,img/01736.png,not-hateful,korean war soldiers come home msnbc no live coverage cnn 58 seconds nbc no coverage abc 24 seconds cbc no coverage share if they should be ashamed,NEGATIVE,0.9994695
90,1738,img/01738.png,not-hateful,everybody hates chris,NEGATIVE,0.9989203
91,1742,img/01742.png,not-hateful,in just one hour from now i'll only have 4 hours left until i have to work a mere 3 hours,NEGATIVE,0.9971981
92,1743,img/01743.png,not-hateful,sen mitt romney wall declaration let's make this his last term wwg1wga! utah voted against trumps emergency,NEGATIVE,0.99666494
93,1746,img/01746.png,not-hateful,everyone told me you gonna be a blessing,POSITIVE,0.9956533
94,1749,img/01749.png,not-hateful,so then we told them cannabis is dangerous and pharmaceuticals are good for you,NEGATIVE,0.99827796
95,1756,img/01756.png,not-hateful,she is a fast runner,POSITIVE,0.9983711
96,1758,img/01758.png,hateful,we talked about it  i agreed dinner would be ready on time in the future,POSITIVE,0.99750525
97,1762,img/01762.png,hateful,look at them playing their favorite sport ... cross-country,POSITIVE,0.9987628
98,1763,img/01763.png,not-hateful,want a spin ?,POSITIVE,0.9909789
99,1765,img/01765.png,hateful,"after a girl dies, what organ in her body stays warm? my dick",POSITIVE,0.9110367
100,1768,img/01768.png,not-hateful,when you're so happy n to be with family,POSITIVE,0.9985066
101,1793,img/01793.png,hateful,don't mind me i'm only watering my muslims,POSITIVE,0.9681458
102,1794,img/01794.png,not-hateful,i beat children,NEGATIVE,0.9943832
103,1796,img/01796.png,hateful,life hack #23 how to get stoned with no weed,POSITIVE,0.9888932
104,1823,img/01823.png,not-hateful,i too was once a male trapped in a female's body but then i was born,POSITIVE,0.98993766
105,1827,img/01827.png,not-hateful,if your man is offended by this then he's never been hunting,NEGATIVE,0.9994422
106,1829,img/01829.png,not-hateful,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables,NEGATIVE,0.99944204
107,1834,img/01834.png,hateful,4 years with these kids i'm tired,NEGATIVE,0.99944925
108,1835,img/01835.png,not-hateful,that makes my lady junk tingle,POSITIVE,0.9968228
109,1836,img/01836.png,not-hateful,can you hear me at the back?,POSITIVE,0.9937867
110,1842,img/01842.png,not-hateful,it's a wiener pit kinda like your mouth,POSITIVE,0.9861266
111,1845,img/01845.png,not-hateful,when you consume too much trans fat,NEGATIVE,0.9959785
112,1854,img/01854.png,not-hateful,goes for when an indian walk with his dog,POSITIVE,0.9971067
113,1865,img/01865.png,hateful,i'm this pretty because both my parents are white,POSITIVE,0.993683
114,1874,img/01874.png,not-hateful,when you get in trouble for eating all the cookies,NEGATIVE,0.99416083
115,1875,img/01875.png,not-hateful,does anyone know if he had a donor card? i need parts for my go-cart,NEGATIVE,0.99900484
116,1892,img/01892.png,not-hateful,i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country,NEGATIVE,0.99862504
117,1893,img/01893.png,not-hateful,american asians how to prepare the dog for the family event,POSITIVE,0.9967038
118,1894,img/01894.png,not-hateful,we haven't t seen any new jesus appearances on pancakes in a while i hope he's okay,POSITIVE,0.98393536
119,1896,img/01896.png,not-hateful,terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism,POSITIVE,0.9926809
120,1924,img/01924.png,hateful,whats the difference between a feminist and a suicide vest? a suicide vest actually accomplishes something when its triggered,POSITIVE,0.98001486
121,1925,img/01925.png,hateful,i am not racist i just don't like brown sugar,NEGATIVE,0.9966199
122,1926,img/01926.png,not-hateful,jewish children today should remember how lucky they are today,POSITIVE,0.9972043
123,1936,img/01936.png,hateful,we said we would never forget why are you voting them into our governement?,NEGATIVE,0.999139
124,1937,img/01937.png,hateful,"when you find a shooter the same day you plan a bombing, so you team up",POSITIVE,0.994363
125,1943,img/01943.png,hateful,person i chase: *shows clear signs he doesn't want to do anything with me* me: i'm gonna pretend i didn't see that,NEGATIVE,0.9994463
126,1953,img/01953.png,hateful,muslim +hunt = less muslims,NEGATIVE,0.9903261
127,1954,img/01954.png,not-hateful,the best part about a prostitute dying on you is you get the second hour free,NEGATIVE,0.8915893
128,1956,img/01956.png,not-hateful,i am a crocodile!,NEGATIVE,0.99442774
129,1962,img/01962.png,not-hateful,i put makeup for my profile photo,POSITIVE,0.9884683
130,1967,img/01967.png,not-hateful,when you decide to stop racism by burning its symbol,NEGATIVE,0.9740161
131,1972,img/01972.png,not-hateful,you don't have a cat? this is your lucky day! i'm moving in!,POSITIVE,0.9968883
132,1974,img/01974.png,not-hateful,hiroshima hiroshima nagasaki everybody needs a friend,POSITIVE,0.99509066
133,1975,img/01975.png,hateful,valentine in islamic countries,POSITIVE,0.9911669
134,2138,img/02138.png,not-hateful,it's monday!!! nooooo!,NEGATIVE,0.9865606
135,2139,img/02139.png,not-hateful,no less beautiful,POSITIVE,0.9984582
136,2143,img/02143.png,hateful,"doesnt have food, water, electricity proud of nuclear weapons",NEGATIVE,0.99809563
137,2145,img/02145.png,not-hateful,"and then i asked mom, what's for dinner?",POSITIVE,0.9956854
138,2146,img/02146.png,not-hateful,from the bottom of my heart i would like to sincerely apologize..... for being white,POSITIVE,0.9951219
139,2149,img/02149.png,not-hateful,what's that burning? oh it's my pot roast,NEGATIVE,0.9958853
140,2153,img/02153.png,not-hateful,when you're arguing with someone and trying notto hit them,NEGATIVE,0.99220324
141,2156,img/02156.png,not-hateful,never forget,POSITIVE,0.99673283
142,2157,img/02157.png,hateful,"mohammed i'm pregnant.... don't sass me, you know it's funny! ~cupcakes",POSITIVE,0.99564946
143,2158,img/02158.png,hateful,i like my women like i like my chickens held in captivity until i behead them,POSITIVE,0.99065864
144,2164,img/02164.png,not-hateful,that feeling when you finish your homework in record time and have extra time to chill,POSITIVE,0.9987168
145,2165,img/02165.png,hateful,the difference between moderate muslim and radical muslim follow my allah or i kill you! follow my allah or he kill,NEGATIVE,0.9912451
146,2168,img/02168.png,not-hateful,how many fucking accounts do you assholes have?,NEGATIVE,0.99918824
147,2169,img/02169.png,hateful,"to see better, asians sometimes switch to fullscreen view",POSITIVE,0.9952906
148,2183,img/02183.png,hateful,local restaurant gets new slow cooker,POSITIVE,0.997879
149,2185,img/02185.png,not-hateful,weeeeeee! back over the border you go!,POSITIVE,0.99850154
150,2193,img/02193.png,not-hateful,doesn't wear tampons because she trips over the string,NEGATIVE,0.99933106
151,2194,img/02194.png,not-hateful,when you're a good farmer who raises healthy animals,POSITIVE,0.9980863
152,2315,img/02315.png,not-hateful,don't forget me!!!!!! i'm an asshole too!!!,NEGATIVE,0.99889094
153,2316,img/02316.png,not-hateful,they can kill the messenger but they can't kill the message,NEGATIVE,0.9964558
154,2317,img/02317.png,hateful,white trash go to hell trump fuck donald trump,NEGATIVE,0.99775493
155,2349,img/02349.png,not-hateful,how i stare at the homie when i know he's lying,NEGATIVE,0.9987671
156,2351,img/02351.png,hateful,when karen helps u camouflage the crackhouse,POSITIVE,0.99475425
157,2356,img/02356.png,not-hateful,if i was arrested what do u think i got arrested 4?,NEGATIVE,0.99920994
158,2358,img/02358.png,hateful,diary of a wimpy kid hard luck anne frank is one wimpy kid,NEGATIVE,0.9961147
159,2364,img/02364.png,not-hateful,"a jewish shop owner, wears a kippah or yarmulke whilst in his shop in tehran",POSITIVE,0.9931071
160,2365,img/02365.png,not-hateful,"quick, which one is a bb gun? oops, too late . . . you're dead",NEGATIVE,0.9987017
161,2367,img/02367.png,not-hateful,dodge owners be like don't take a picture,NEGATIVE,0.9994293
162,2371,img/02371.png,hateful,why do all the mexican foos who work lmaooo at t-mobile look like this,NEGATIVE,0.999389
163,2374,img/02374.png,not-hateful,"i don't always fuck midgets but when i do, i go balls deep",POSITIVE,0.99736744
164,2381,img/02381.png,hateful,"got braces friend told me ""you're so black, even your teeth are behind bars""",NEGATIVE,0.9983377
165,2384,img/02384.png,not-hateful,caitlin jenner showing off her new whip,POSITIVE,0.9975941
166,2385,img/02385.png,not-hateful,every life is precious,POSITIVE,0.99751574
167,2389,img/02389.png,hateful,democrat jan schakowsky defends ilhan omar: 'she comes from a different culture' where they want to kill all the jews,POSITIVE,0.9965429
168,2413,img/02413.png,not-hateful,"women ask for equal rights, and this is why",POSITIVE,0.99808997
169,2416,img/02416.png,not-hateful,how do you piss off a female archeologist? give her a used tampon and ask her what period it comes from,NEGATIVE,0.99945164
170,2417,img/02417.png,not-hateful,my face when racism exists,NEGATIVE,0.9867695
171,2431,img/02431.png,hateful,subway is similar to prostitution you pay someone else to do your wife's job,NEGATIVE,0.998932
172,2435,img/02435.png,hateful,when you type fidget spinner but it autocorrects to midget spinner,NEGATIVE,0.9986077
173,2436,img/02436.png,not-hateful,him: are you having fun? her: yes,POSITIVE,0.9986965
174,2437,img/02437.png,not-hateful,periods be like,POSITIVE,0.96589077
175,2439,img/02439.png,not-hateful,"superman's flying class was popular, but no one ever passed",NEGATIVE,0.99780494
176,2451,img/02451.png,not-hateful,what would you do if i became a pirate,NEGATIVE,0.99247134
177,2456,img/02456.png,not-hateful,"people are loosing their minds over terrorism and isis in america... and veterans are all like... ""wake me up when i can go fuck shit up and not go to iail for it""",NEGATIVE,0.9961062
178,2457,img/02457.png,hateful,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle,POSITIVE,0.9936476
179,2459,img/02459.png,not-hateful,"my dishwasher is acting strange, can anybody help?",NEGATIVE,0.99924815
180,2461,img/02461.png,not-hateful,"whenever you feel stupid, remember this",POSITIVE,0.994837
181,2467,img/02467.png,not-hateful,how much did the holo cost,POSITIVE,0.97546583
182,2471,img/02471.png,not-hateful,when you walk into the welfare office hello monkeys,POSITIVE,0.9849017
183,2475,img/02475.png,not-hateful,therapy dogs are now being trained to console rape victims of muslims,NEGATIVE,0.77849644
184,2476,img/02476.png,not-hateful,im never doing a garden again!,NEGATIVE,0.99898845
185,2478,img/02478.png,hateful,must..resist...urge to.. kill whitey.,NEGATIVE,0.95299643
186,2481,img/02481.png,hateful,greetings tranny time to die,NEGATIVE,0.99587375
187,2483,img/02483.png,not-hateful,group of people rescued from medditaranian sea by italian coast guard,POSITIVE,0.996525
188,2485,img/02485.png,not-hateful,real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love,NEGATIVE,0.9982619
189,2486,img/02486.png,not-hateful,romanians when they see a slightly open purse/pocket/window,POSITIVE,0.826515
190,2497,img/02497.png,not-hateful,you're a wizard motherfucker,POSITIVE,0.9869549
191,2514,img/02514.png,not-hateful,"if they're in a relationship, who makes the sandwiches?",NEGATIVE,0.99487007
192,2518,img/02518.png,not-hateful,when the dog bites you and you bite back to assert dominance,POSITIVE,0.99549246
193,2519,img/02519.png,not-hateful,it's funny because he's fat!,NEGATIVE,0.99029976
194,2536,img/02536.png,not-hateful,don't drink and drive,NEGATIVE,0.9986304
195,2537,img/02537.png,not-hateful,arrest george soros for crimes against europe,NEGATIVE,0.9978141
196,2538,img/02538.png,not-hateful,when my girl pissed me off but she runs through the room in her draws me my dick,POSITIVE,0.99418765
197,2543,img/02543.png,not-hateful,catch me outside how bout dat i'll catch my damn self outside,NEGATIVE,0.99182415
198,2548,img/02548.png,not-hateful,oi are you looking at me?,NEGATIVE,0.9983708
199,2561,img/02561.png,hateful,"we are coming to america one way or another! we will rape, pillage, & reap havoc riot on your nation while stealing your welfare",NEGATIVE,0.99034643
200,2564,img/02564.png,hateful,hi monkey,POSITIVE,0.9893688
201,2567,img/02567.png,hateful,"it was at that moment he fucked up, and helped put the wrong load in the wrong dish washer",NEGATIVE,0.99946046
202,2568,img/02568.png,hateful,whatsthe difference between heroin and i? cops think twice before shooting heroin,NEGATIVE,0.94542193
203,2569,img/02569.png,not-hateful,when you're watching the #roots remake but you're in an interracial relationship,POSITIVE,0.9904276
204,2571,img/02571.png,not-hateful,former first lady during an interview,POSITIVE,0.98844177
205,2576,img/02576.png,not-hateful,this is a snakes mouth it all makes fucking sense now,POSITIVE,0.9879469
206,2578,img/02578.png,not-hateful,islam is the religious of love and peace,POSITIVE,0.99711204
207,2581,img/02581.png,hateful,mussie guy tried to rape me he didn't make it to court,NEGATIVE,0.99939597
208,2584,img/02584.png,hateful,imagine being so disugsting there have to be laws to try to stop normal people from hating you,NEGATIVE,0.99675035
209,2587,img/02587.png,not-hateful,the first lady chillin' with her children,POSITIVE,0.9987248
210,2593,img/02593.png,not-hateful,tell me where's the gay parade,NEGATIVE,0.9898565
211,2594,img/02594.png,hateful,jamal! im pregnant!!!,POSITIVE,0.9971143
212,2613,img/02613.png,not-hateful,after group sex mohammed is very tired,NEGATIVE,0.9975664
213,2614,img/02614.png,not-hateful,black boyfriend white boyfriend,POSITIVE,0.9825741
214,2619,img/02619.png,not-hateful,raise your hand if you're trash,NEGATIVE,0.9902948
215,2631,img/02631.png,not-hateful,when your grandma sees you for the first time in a whole week he's so fucking big. me#irl,POSITIVE,0.9970203
216,2634,img/02634.png,hateful,and just like that... this sandwich maker doubles as an ironing board,NEGATIVE,0.98793936
217,2641,img/02641.png,not-hateful,cracking open a sold one with the boys,POSITIVE,0.9973289
218,2647,img/02647.png,not-hateful,notice how the kenyan skidmark has been silent about the mueller report?,NEGATIVE,0.99779886
219,2649,img/02649.png,not-hateful,and that was the last nativity play my son was invited to take part in,NEGATIVE,0.9843784
220,2653,img/02653.png,hateful,england where moslems can rape your children and reporting it is a crime,NEGATIVE,0.9966238
221,2654,img/02654.png,not-hateful,when people are spreading rumors but you're unbothered,POSITIVE,0.9964401
222,2657,img/02657.png,hateful,oh look someone's returning a broken sandwich maker to walmart,NEGATIVE,0.9993691
223,2674,img/02674.png,hateful,asian drivers test went as expected,POSITIVE,0.99837697
224,2683,img/02683.png,hateful,how to get stoned without smoking weed,POSITIVE,0.9960476
225,2687,img/02687.png,not-hateful,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock,NEGATIVE,0.9986752
226,2691,img/02691.png,not-hateful,teaching them how to hunt young,POSITIVE,0.9985293
227,2697,img/02697.png,not-hateful,when you so savage you roast a whole race,NEGATIVE,0.99888134
228,2716,img/02716.png,not-hateful,"felt cute might pray later, idk",POSITIVE,0.99158823
229,2718,img/02718.png,not-hateful,my kid threatened to hold his breath until i gave him dessert. he's now passed out on the kitchen floor i don't negotiate with terrorists,NEGATIVE,0.999491
230,2719,img/02719.png,hateful,your black neighbor after you called the cops,NEGATIVE,0.99789697
231,2735,img/02735.png,not-hateful,when each letter is a mental disorder,NEGATIVE,0.99451053
232,2751,img/02751.png,not-hateful,just admit it white america was better,NEGATIVE,0.9862758
233,2761,img/02761.png,not-hateful,i'm sorry i didn't mean to hurt your feelings,NEGATIVE,0.99515903
234,2763,img/02763.png,not-hateful,immigrants illegal aliens,NEGATIVE,0.99566895
235,2764,img/02764.png,not-hateful,closing time one last call for green cards you dont have to go home but you cant stay here,NEGATIVE,0.99406946
236,2768,img/02768.png,hateful,when you look in your neighbor's yard and see an illegal immigrant mowing their lawn,NEGATIVE,0.99752724
237,2769,img/02769.png,not-hateful,"think we just discovered ""cop crack"" bacon wrapped donuts mother of god",POSITIVE,0.9900309
238,2783,img/02783.png,hateful,a picture of my great great great grand grandfather's tractors they don't make them like they used to,POSITIVE,0.9865935
239,2789,img/02789.png,hateful,when you got a warrant out for your arrest & you on the run.....,NEGATIVE,0.99692357
240,2793,img/02793.png,not-hateful,sea monkeys,POSITIVE,0.9754041
241,2794,img/02794.png,not-hateful,i hate snow it's cold,NEGATIVE,0.99836713
242,2795,img/02795.png,not-hateful,police academy graduation ceremony,POSITIVE,0.99645275
243,2814,img/02814.png,hateful,want to party? yeah i'm down,POSITIVE,0.99846405
244,2815,img/02815.png,hateful,how do i like my eggs? same as i like my niggers beaten and separated from the whites,NEGATIVE,0.9980443
245,2816,img/02816.png,hateful,help im downing,NEGATIVE,0.99531376
246,2831,img/02831.png,hateful,where's jaws when you need him ?,NEGATIVE,0.9924591
247,2841,img/02841.png,not-hateful,birthday because i don't care if it's happy,POSITIVE,0.9951105
248,2845,img/02845.png,not-hateful,they have sex with goats wipe their asses with their hands and drink camel piss but i'm the unclean one!,NEGATIVE,0.99762803
249,2846,img/02846.png,not-hateful,the before image that not many people have seen,POSITIVE,0.9842777
250,2849,img/02849.png,hateful,abba ree i can fryyy,POSITIVE,0.99039984
251,2853,img/02853.png,hateful,"but islam can radicalize muslims muslims are not terrorist quran 8:39 ""kill all non believers till the only religion is islam""",POSITIVE,0.9891556
252,2854,img/02854.png,hateful,do gay midgets come out of the cabinet?,NEGATIVE,0.9899662
253,2857,img/02857.png,hateful,"i love it when women go to school. it's like seeing a monkey on roller skates: it means nothing to them, but it's so adorable for us",POSITIVE,0.99870455
254,2863,img/02863.png,hateful,white men are the biggest terror threat except for my white boyfriend,NEGATIVE,0.986392
255,2867,img/02867.png,not-hateful,russia #freesentsov #freekolchenko,POSITIVE,0.9816351
256,2876,img/02876.png,hateful,your milkshake brings all the tards to the yard,POSITIVE,0.99824595
257,2879,img/02879.png,hateful,i hate snow it's white and on my land,NEGATIVE,0.99926454
258,2891,img/02891.png,hateful,look! a blow up doll!,NEGATIVE,0.9959925
259,2894,img/02894.png,not-hateful,"how high are you no officer, its ""hi, how are you""?",POSITIVE,0.98992366
260,2914,img/02914.png,not-hateful,the only thing that hinders you is your own motivation,POSITIVE,0.9985534
261,2917,img/02917.png,hateful,islamaphobe no i just hate the mother fuckers,NEGATIVE,0.9988199
262,2918,img/02918.png,not-hateful,a islamic leader among his followers,POSITIVE,0.9921986
263,2934,img/02934.png,hateful,i support terrorists because they're pea brains like me,POSITIVE,0.99187136
264,2935,img/02935.png,not-hateful,copsuckers be like the whole boot daddy,NEGATIVE,0.99253595
265,2937,img/02937.png,hateful,love is love stop racism,POSITIVE,0.9960079
266,2943,img/02943.png,not-hateful,hide and go seek champion july 6 1942 - august 4 1944,POSITIVE,0.98800856
267,2945,img/02945.png,hateful,you've been hungerstruck!,POSITIVE,0.9955654
268,2946,img/02946.png,hateful,is your girlfriend hot like me?,POSITIVE,0.99676734
269,2947,img/02947.png,not-hateful,meanwhile at the isis strip club,POSITIVE,0.9935249
270,2951,img/02951.png,not-hateful,protesters throwing smoke bombs,NEGATIVE,0.9988049
271,2956,img/02956.png,not-hateful,how i sleep knowing i'm going to hell in every religion,NEGATIVE,0.9924987
272,2957,img/02957.png,not-hateful,down syndrome girl put on makeup for a party,POSITIVE,0.9924332
273,2958,img/02958.png,not-hateful,when you forget that your blind friend has a heightened sense of smell bro. chop a fuckin line up for me,NEGATIVE,0.99297696
274,2965,img/02965.png,hateful,i once dumped a cross eyed chick thought she was seeing someone else,NEGATIVE,0.9963839
275,2967,img/02967.png,hateful,when the black kids start fighting at school,NEGATIVE,0.9938237
